Topic2,Comment
Be tough on crime,If it’s so predictable how did you not predict it and stop it?
Be tough on crime,"If you see something, say something. If even one person who saw the shooter's social media posts had contacted law enforcement, this tragedy could have been averted. Nikki Haley responded to the shooting by saying that we had to do hard work on mental illness. The problem with this argument is that other Western nations have a fraction of the shootings that we do in the U.S. Rates of mental illness are the same in the U.S. as they are in those other nations. The difference? The easy availability of guns in the U.S. Our legislators need to enact universal background checks and Red Flag laws."
Be tough on crime,Is it guns? What else couuld it be? Guns dont shoot on their own....say it.
Be tough on crime,The gun did not do this the shooter did.
Be tough on crime,This is America. We don’t punish thought crimes. Get out of here commie
Be tough on crime,Will not stop until people stop blaming the tool of choice versus the act of a person. 
Democrats are the problem,"Already, one day later, this story is buried way down the scroll, below Jeffrey Epstien and several other less impactful stories."
Democrats are the problem,Guess the liberals are not happy about Iowa turning Red!
Democrats are the problem,"He identified as LGBTQ on his social media accounts, which disappointed progressives, so this incident will soon be forgotten. "
Democrats are the problem,If you truly want to lower gun violence take the guns away from Democrats.
Democrats are the problem,You are so vapid just regurgitating lib rhetoric.  
Gun control laws don't work,"Exactly. No ""quick easy fix"". No ""one and done"" by passing yet another gun law, or posting more ""gun free zone"" signs. Those are easy virtue signaling measures, but will do nothing. Fixing a morally bankrupt society is a bit more complicated than that though isn't it?"
Gun control laws don't work,"So, despite what you might know, there is nowhere in the US you can buy a gun without a background check. It's federal law. Maybe there are some loopholes, but if you have a record it's going to be known when your paperwork is being done. Additionally, if you buy two or more firearms at once, the ATF is going to get a form with your info. At this point, they may monitor your social media if they can find it. Not 100% on that and I don't really care what their policy is. There aren't enough 'local authorities' to actually keep up with that monitoring. Red flag laws supposedly work where they are in place, but it's a system that can be abused very easily and there are questions about violation of privacy, and unlawful search/seizures."
Gun control laws don't work,"Those “ No Firearms Allowed” signs work like a charm with those bad guys, don’t they?"
Gun control laws don't work,"Wow, I'm sure glad that guns aren't allowed in schools!"
It's a societal decline problem,"Agreed.  It's all about ""self"" nowadays.  There is no thought of sacrificing ANYTHING for others.  The country is doomed."
It's a societal decline problem,and public schools don't teach abstinence anymore.
It's a societal decline problem,And those same guns in those rifle racks stayed right there. No one messed with another person’s guns and those guns didn’t jump out of the pickup and harm anyone. It ain’t the guns people. 
It's a societal decline problem,"Having and owning a gun is a big responsibility, in fact, you have God's power when you wield a gun, because God has the power to take someone's life, and you as a gun owner have that power too, and as Spider-Man says, ""With great power comes great responsibility,"""
It's a societal decline problem,I learned gun safety in the Boy Scouts and earned a marksmanship merit badge in the 70's
It's a societal decline problem,I'm sorry your morals are so fickle.
It's a societal decline problem,"Lack of instilling accountability and values in kids, video games that make mass murder fun, and social media are all to blame. 50 years ago we carried pocket knives to school, rifles in pickup trucks, and rarely an incident like is common today. "
It's a societal decline problem,"Once the government got in the business of child rearing, it's all gone downhill. "
It's a societal decline problem,Society has changed. No morals anymore. 
It's a societal decline problem,"The bigger problem is that the government and mass media are devoted to breaking up traditional families. Outside pressures like that are the SOURCE of the mental illness in children. If the Powers that Be refuse to allow society to return to parenting and families, this problem will only get worse...."
It's a societal decline problem,"Yes, it's the morality. It's not the access to guns, because you used to be able to go into any hardware store and buy any gun with no background check at all. And yes, semi-autos existed, just like the ones they're absurdly trying to ban today. It's the morality that's gotten worse, not the guns."
Need stricter gun control,@esp the common denominator is that the gun manufacturers are the winners. they supply the guns that south/latin americans use as well.
Need stricter gun control,"And then add to the equation how easily accessible guns are, it's definitely a recipe for more mass shootings like this."
Need stricter gun control,"Conservative, liberal etc ... Iowans are, above all, decent people. I lived there 12 years and loved it. My best friend was an arch conservative Irish-catholic farmer who convinced me (a pacifist) we needed to hunt on his land to manage the deer population. If they can't sort this out we are lost. We need to get the adults in the room and take responsibility for our governance. Find a safer way forward. This is an unacceptable way to raise our kids."
Need stricter gun control,Do you even know why the founding fathers put in the Second Amendment?
Need stricter gun control,"I am beyond exhausted. This country’s firearms fetish is insane, and everyone in the world, except us, knows it."
Need stricter gun control,"Retired educator here. During my 34 years I saw schools go from being wide open to one door open to all doors locked to wearing ID’s to active shooter drills. In one of the last drills I did, I had my group of seniors, school leaders in a special program. As I looked at these great kids, and I saw them doing exactly what I said, I realized this is their life. It makes me sad to think about it. And to realize, for what seems like the millionth time, that guns are more valued than human lives."
Need stricter gun control,"That when someone purchases a lot of firearms and ammo, why can't that someone be on the radar of the local authorities?"
Need stricter gun control,This already happens. Multiple gun purchases trigger extra scrutiny.
Parents are the problem,"everything comes down to proper, loving and responsible parenting in every home in this country!rural/urban, rich/poor, black/white/yellow/ brown, straight/gay, married/seperated/ divorced. this has been the rule forever but it appears that the last two American generations have lost/forgotten/disregarded this universal fundamental truth."
Parents are the problem,hope they charge the parents too!!!
Protect gun rights,Explain how the gun caused the shooting.
Protect gun rights,Restricting my constitutional rights will not prevent these crimes.
Protect gun rights,"The government keeping and making lists and raiding homes because of ""excessive"" purchase is the very definition of ""infringed"""
Protect gun rights,"the right of the people to keep and bear Arms, shall not be infringed."
Protect gun rights,The shooter would have gotten a gun somehow or used another weapon if none available.
Protect gun rights,Your claim the gun caused the shooting is nonsensical.
Protect schools,"At this point, knowing all that we do, and the money made available for years, it's a deliberate act of ignorance and child endangerment not to secure the schools and train armed teachers. 1000% preventable. But Liberal school administrators want to create victims to support the Democrat anti gun a...See more"
Protect schools,"How is it possible, in todays day and age, that an armed police officer and metal detector is not stationed at each front entrance to every school in this country. "
Protect schools,it's so sad that kids have to grow up this way inside of school.
Republicans are the problem,@Janet: And mental health issues are being funded the way they should be. It's easier for the GOP to talk than to act.
Republicans are the problem,Another day of thoughts and prayers. Will prayers ever be answered?
Republicans are the problem,Great point! You notice this administration NEVER speaks of that violence!
Republicans are the problem,"Sadly, this is as common in America as a Trump lie."
The state spends too much,So what is the solution? Universal health care so kids get proper mental health supports?
The state spends too much,The government can monitor your social media accounts already - limited to what you make public.
The state spends too much,"You forgot about the 87,000 new IRS agents."
This is a rare event,Stop dreading a highly unlikely event and start spending those $$$ that he’s 3x more likely to win.
This is a rare event,There are 10’s of thousands of schools in America. The chances of being in a school shootings are probably near the same rate as being attacked by a polar bear
